family,stage,series_code,size,ratio_nominal,ratio_actual,t2n_nm
RKH,3,RKH3,5,112.0,107.59,14900
RKH,3,RKH3,6,112.0,112.294,24900
RKH,3,RKH3,7,112.0,111.645,42400
RKH,3,RKH3,8,112.0,108.257,76400
RKH,3,RKH3,9,112.0,110.0,108000
RKB,2,RKB2,4,5.0,4.936,6000
RKB,2,RKB2,5,5.0,5.006,9300
RKB,2,RKB2,6,5.0,4.865,18800
RKB,2,RKB2,7,5.0,5.002,29600
RKB,2,RKB2,8,5.0,4.897,45500
RKB,2,RKB2,9,5.0,4.967,67900
RKB,2,RKB2,10,5.0,4.963,121000
RKB,2,RKB2,4,5.6,5.48,6100
RKB,2,RKB2,5,5.6,5.488,9300
RKB,2,RKB2,6,5.6,5.333,18800
RKB,2,RKB2,7,5.6,5.483,29600
RKB,2,RKB2,8,5.6,5.534,47600
RKB,2,RKB2,9,5.6,5.613,68900
RKB,2,RKB2,10,5.6,5.609,121000
RKB,2,RKB2,11,5.6,5.63,134000
RKB,2,RKB2,12,5.6,5.514,193000
RKB,2,RKB2,4,6.3,6.296,6100
RKB,2,RKB2,5,6.3,6.386,9300
RKB,2,RKB2,6,6.3,6.205,11900
RKB,2,RKB2,7,6.3,6.206,18800
RKB,2,RKB2,8,6.3,6.135,23600
RKB,2,RKB2,9,6.3,6.381,29600
RKB,2,RKB2,10,6.3,6.271,37600
RKB,2,RKB2,11,6.3,6.296,49700
RKB,2,RKB2,12,6.3,6.226,58200
RKB,2,RKB2,13,6.3,6.386,73100
RKB,2,RKB2,14,6.3,6.156,84300
RKB,2,RKB2,15,6.3,6.34,129000
RKB,2,RKB2,16,6.3,6.362,140000
RKB,2,RKB2,17,6.3,6.234,193000
RKB,2,RKB2,4,7.1,6.959,6100
RKB,2,RKB2,5,7.1,7.058,9300
RKB,2,RKB2,6,7.1,6.802,11900
RKB,2,RKB2,7,7.1,6.86,18800
RKB,2,RKB2,8,7.1,6.725,23600
RKB,2,RKB2,9,7.1,7.053,29600
RKB,2,RKB2,10,7.1,6.875,37600
RKB,2,RKB2,11,7.1,7.037,51900
RKB,2,RKB2,12,7.1,7.036,60300
RKB,2,RKB2,13,7.1,7.138,75100
RKB,2,RKB2,14,7.1,6.957,86400
RKB,2,RKB2,15,7.1,7.132,131000
RKB,2,RKB2,16,7.1,7.192,144000
RKB,2,RKB2,17,7.1,7.012,193000
RKB,2,RKB2,18,7.1,7.239,228000
RKB,2,RKB2,4,8.0,7.549,6100
RKB,2,RKB2,5,8.0,7.657,9300
RKB,2,RKB2,6,8.0,7.915,11900
RKB,2,RKB2,7,8.0,7.88,18800
RKB,2,RKB2,8,8.0,7.825,23600
RKB,2,RKB2,9,8.0,8.101,29600
RKB,2,RKB2,10,8.0,8.0,37600
RKB,2,RKB2,11,8.0,7.994,53500
RKB,2,RKB2,12,8.0,8.005,62500
RKB,2,RKB2,13,8.0,8.108,79200
RKB,2,RKB2,14,8.0,7.915,90600
RKB,2,RKB2,15,8.0,8.101,131000
RKB,2,RKB2,16,8.0,8.09,147000
RKB,2,RKB2,17,8.0,7.965,193000
RKB,2,RKB2,18,8.0,8.143,228000
RKB,2,RKB2,4,9.0,8.693,6100
RKB,2,RKB2,5,9.0,8.817,9300
RKB,2,RKB2,6,9.0,8.749,11900
RKB,2,RKB2,7,9.0,8.569,18800
RKB,2,RKB2,8,9.0,8.649,23600
RKB,2,RKB2,9,9.0,8.81,29600
RKB,2,RKB2,10,9.0,8.842,37600
RKB,2,RKB2,11,9.0,8.693,53500
RKB,2,RKB2,12,9.0,8.947,64500
RKB,2,RKB2,13,9.0,8.817,80300
RKB,2,RKB2,14,9.0,8.847,93100
RKB,2,RKB2,15,9.0,8.81,131000
