series_code,size,dim_letter,value
RKH2,11,m3,370
RKH2,11,n1,165
RKH2,11,n2,180
RKH2,11,s,35
RKH2,11,n4,300
RKH2,11,n3,710
RKH2,11,d2,170
RKH2,11,G2,270
RKH2,11,l2,300
RKH2,11,D2,165 H7
RKH2,11,D3,165 H7
RKH2,11,D4,170
RKH2,11,G4,270
RKH2,11,G5,400
RKH2,12,a,1260
RKH2,12,b,430
RKH2,12,c,50
RKH2,12,A1,372
RKH2,12,A2,420
RKH2,12,A3,285
RKH2,12,A4,135
RKH2,12,B1,325
RKH2,12,B2,285
RKH2,12,d6,210
RKH2,12,D5,40 H9
RKH2,12,c1,54±1.5
RKH2,12,h,380
RKH2,12,h5,200
RKH2,12,H,832
RKH2,12,m1,930
RKH2,12,m3,370
RKH2,12,n1,165
RKH2,12,n2,265
RKH2,12,s,35
RKH2,12,n4,300
RKH2,12,n3,780
RKH2,12,d2,180
RKH2,12,G2,270
RKH2,12,l2,300
RKH2,12,D2,180 H7
RKH2,12,D3,180 H7
RKH2,12,D4,185
RKH2,12,G4,270
RKH2,12,G5,405
RKH2,13,E,35
RKH2,13,A2,450
RKH2,13,A3,460
RKH2,13,A4,950
RKH2,13,b,545
RKH2,13,B1,385
RKH2,13,B2,545
RKH2,13,c,475
RKH2,13,c1,100
RKH2,13,d6,305
RKH2,13,D5,835
RKH2,13,e2,340
RKH2,13,a,211.5
RKH2,13,A1,440
RKH2,13,h,440
RKH2,13,h1,450
RKH2,13,h2,460
RKH2,13,H,950
RKH2,13,m1,545
RKH2,13,m2,545
RKH2,13,n1,100
RKH2,13,n2,305
RKH2,13,m3,475
RKH2,13,n3,835
RKH2,13,n4,340
RKH2,13,s,35
RKH2,13,d2,200
RKH2,13,G2,335
RKH2,13,l2,350
RKH2,13,D2,190 H7
RKH2,13,D3,190 H7
RKH2,13,D4,195
RKH2,13,G4,335
RKH2,13,G5,480
RKH2,14,E,35
RKH2,14,A2,450
RKH2,14,A3,460
RKH2,14,A4,950
RKH2,14,b,545
RKH2,14,B1,385
RKH2,14,B2,685
RKH2,14,c,475
RKH2,14,c1,100
RKH2,14,d6,375
RKH2,14,D5,905
RKH2,14,e2,340
RKH2,14,a,211.5
RKH2,14,A1,440
RKH2,14,h,440
RKH2,14,h1,450
RKH2,14,h2,460
RKH2,14,H,950
RKH2,14,m1,545
RKH2,14,m2,685
RKH2,14,n1,100
RKH2,14,n2,375
RKH2,14,m3,475
RKH2,14,n3,905
RKH2,14,n4,340
RKH2,14,s,35
RKH2,14,d2,210
RKH2,14,G2,335
RKH2,14,l2,350
RKH2,14,D2,210 H7
RKH2,14,D3,210 H7
RKH2,14,D4,215
RKH2,14,G4,335
RKH2,14,G5,480
RKH2,15,E,42
RKH2,15,A2,490
RKH2,15,A3,500
RKH2,15,A4,1040
RKH2,15,b,655
RKH2,15,B1,430
RKH2,15,B2,655
RKH2,15,c,535
RKH2,15,c1,120
RKH2,15,d6,365
RKH2,15,D5,1005
RKH2,15,e2,375
RKH2,15,a,238
RKH2,15,A1,500
RKH2,15,h,500
RKH2,15,h1,490
RKH2,15,h2,500
RKH2,15,H,1040
RKH2,15,m1,655
RKH2,15,m2,655
RKH2,15,n1,120
RKH2,15,n2,365
RKH2,15,m3,535
RKH2,15,n3,1005
RKH2,15,n4,375
RKH2,15,s,42
RKH2,15,d2,230
RKH2,15,G2,380
RKH2,15,l2,410
RKH2,15,D2,230 H7
RKH2,15,D3,230 H7
RKH2,15,D4,235
RKH2,15,G4,380
RKH2,15,G5,550
RKH2,16,E,42
RKH2,16,A2,490
RKH2,16,A3,500
RKH2,16,A4,1040
RKH2,16,b,655
RKH2,16,B1,745
RKH2,16,B2,155
RKH2,16,c,535
RKH2,16,c1,120
RKH2,16,d6,410
RKH2,16,D5,1050
RKH2,16,e2,375
RKH2,16,a,238
RKH2,16,A1,500
RKH2,16,s,42
RKH2,16,m2,745
RKH2,16,m1,655
RKH2,16,m3,535
RKH2,16,n1,120
RKH2,16,n2,410
RKH2,16,n3,1050
RKH2,16,n4,375
RKH2,16,h1,490
RKH2,16,h2,500
RKH2,16,H,1040
RKH2,16,h,500
RKH2,16,d2,240
RKH2,16,G2,380
RKH2,16,l2,410
RKH2,16,D2,240 H7
RKH2,16,D3,240 H7
RKH2,16,D4,245
RKH2,16,G4,380
RKH2,16,G5,550
RKH2,17,E,42
RKH2,17,A2,555
RKH2,17,A3,560
RKH2,17,A4,1170
RKH2,17,b,735
RKH2,17,B1,735
RKH2,17,B2,140
RKH2,17,c,600
RKH2,17,c1,135
RKH2,17,d6,390
RKH2,17,D5,1145
RKH2,17,e2,425
RKH2,17,a,259
RKH2,17,A1,550
RKH2,17,s,42
RKH2,17,m2,735
RKH2,17,m1,735
RKH2,17,m3,600
RKH2,17,n1,135
RKH2,17,n2,390
RKH2,17,n3,1145
RKH2,17,n4,425
RKH2,17,h1,555
RKH2,17,h2,560
RKH2,17,H,1170
RKH2,17,h,550
RKH2,17,d2,250
RKH2,17,G2,415
RKH2,17,l2,410
RKH2,17,D2,250 H7
RKH2,17,D3,250 H7
RKH2,17,D4,260
RKH2,17,G4,415
RKH2,17,G5,600
RKH2,18,E,920
RKH2,18,A2,565
RKH2,18,A3,435
RKH2,18,A4,505
RKH2,18,b,690
RKH2,18,B1,485
RKH2,18,B2,140
RKH2,18,c,80
RKH2,18,c1,81±2
RKH2,18,d6,280
RKH2,18,D5,55 H9
RKH2,18,e2,585
RKH2,18,a,1860
RKH2,18,A1,540
RKH2,18,s,42
RKH2,18,m2,855
RKH2,18,m1,735
RKH2,18,m3,600
RKH2,18,n1,135
RKH2,18,n2,450
RKH2,18,n3,1205
RKH2,18,n4,425
RKH2,18,h1,555
RKH2,18,h2,560
RKH2,18,H,1170
RKH2,18,h,550
RKH2,18,d2,270
RKH2,18,G2,415
RKH2,18,l2,470
RKH2,18,D2,275 H7
RKH2,18,D3,280 H7
RKH2,18,D4,285
RKH2,18,G4,415
RKH2,18,G5,600
RKH3,5,a,405
RKH3,5,b,480
RKH3,5,c,100
RKH3,5,A1,97.5
RKH3,5,A2,230
RKH3,5,A3,80
RKH3,5,A4,532
RKH3,5,B1,220
RKH3,5,B2,105
RKH3,5,c1,455
RKH3,5,d6,180
RKH3,5,D5,19
RKH3,5,h,210
RKH3,5,H,165
RKH3,5,s,326
RKH3,5,h5,95 H7
RKH3,5,m1,165
RKH3,5,m3,100 H7
RKH3,5,n1,100
RKH3,5,n2,165
RKH3,5,n3,240
RKH3,5,n4,15
RKH3,5,d2,100
RKH3,5,G2,165
RKH3,5,l2,210
RKH3,5,D2,95 H7
RKH3,5,D3,100 H7
RKH3,5,D4,100
RKH3,5,G4,165
RKH3,5,G5,240
RKH3,6,a,440
RKH3,6,b,560
RKH3,6,c,145
RKH3,6,A1,97.5
RKH3,6,A2,230
RKH3,6,A3,80
RKH3,6,A4,532
RKH3,6,B1,220
RKH3,6,B2,105
RKH3,6,c1,490
RKH3,6,d6,180
RKH3,6,D5,19
RKH3,6,h,210
RKH3,6,H,165
RKH3,6,s,372
RKH3,6,h5,105 H7
RKH3,6,m1,165
RKH3,6,m3,110 H7
RKH3,6,n1,110
RKH3,6,n2,165
RKH3,6,n3,240
RKH3,6,n4,17
RKH3,6,d2,110
RKH3,6,G2,165
RKH3,6,l2,210
RKH3,6,D2,105 H7
RKH3,6,D3,110 H7
